serialanon,fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph1819,FPGAP_LILEE_UNEQ,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler,WallType,tenure4x,Loftins,EPC,SAP12,hhcompx,Ageyng,Ageold,Hhsize,ethhrp2x,Hhsick,Unoc,emphrp3x,ECO_AW,FloorArea,gorehs,HTHG,WHDBroad,FPGAP_LILEE,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,fpflgb,fpflgf,FullincDeciles
18190017819,0,24046,24046,2371.29,1,6,1,1,4949,0,1,4,4,33.49,1,2,1,1,1,4,4,1,2,4,33.49,2,7,6,2,1,2,1,3,3,5,10,0,0,0,0,25503,168.3,1434.07,724.89,44.03,0,0,5
18190017909,0,8508.62069,11835,791.3,0.82,1,1,1,1478,0,0,2,1,71.77,3,9,1,1,1,5,1,2,2,1,71.77,6,5,4,1,1,1,0,1,3,2,10,0,1,0,6900,12928,83.4,322.54,347.66,37.7,0,0,1
18190017914,0,64687.93103,37519,2110.64,0.82,10,1,88,5212,0,1,4,3,45.79,6,3,0,2,2,-9,4,1,2,3,45.79,7,6,5,1,1,2,1,1,3,5,8,0,0,0,0,38970,167.49,1393.8,485.99,63.36,0,0,7
18190017915,0,100000,100000,3584.44,1.21,10,1,1,2760,0,0,4,3,52.13,4,4,1,1,1,4,4,1,3,3,52.13,3,2,4,4,1,1,1,1,3,5,9,0,0,0,26880,100000,298.41,2096.76,1134.13,55.14,0,0,10
18190017929,1,13576.54321,28449,1628.01,1.21,3,1,1,1955,84.16718572,0,1,2,66.29,3,6,1,1,1,4,1,1,2,2,66.29,3,3,3,4,1,2,0,1,3,5,9,1,0,69.55965762,6455,30505,164.42,685.1,723.35,55.14,0,0,6
18190017968,0,40574,47378,1504.36,1,9,1,1,635,0,0,4,3,48.05,3,4,1,1,1,4,4,3,2,3,48.06,5,5,3,2,2,2,1,1,4,4,8,0,0,0,6804,48718,123.78,694.72,635.65,50.21,0,0,9
18190018023,0,40246,40246,1290.41,1,9,1,1,2144,0,1,4,2,68.42,4,6,1,1,1,5,1,1,3,2,68.42,2,6,5,2,1,2,1,3,3,5,6,0,0,0,0,41759,49.86,576.8,622.19,41.56,0,0,8
18190018042,0,11970.68966,10443,685.04,0.82,2,2,2,394,0,1,2,1,80.01,5,6,1,1,1,5,1,4,2,1,73.3,6,5,3,1,1,1,0,3,4,2,2,0,1,0,3500,7800,82.66,334.26,229.13,38.99,0,0,1
18190018093,0,27289.03094,44403,1134.35,1.21,7,1,1,1119,0,1,3,1,71.89,3,8,1,1,1,5,2,1,2,1,71.89,3,1,3,4,1,2,0,1,3,3,5,0,0,0,6198.356685,45679,143.85,331.94,606.03,52.53,0,0,8
18190018102,0,18517.93478,56253,1335.75,1.21,4,1,1,1706,0,0,3,1,76.93,4,7,1,1,1,4,2,1,3,1,76.93,3,3,4,4,1,1,1,1,3,5,7,1,0,0,19200,58196,131.16,551,600.03,53.56,0,0,9
